Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	
41	9	Re5	D5	327	327	1	4	667	95	96	.	
42	9			-1	-1	1	8	333	100	0	.	
43	9	Si4b1	B4b1	313	313	3	16	500	95	96	.	
44	9	La4	A4	305	305	1	16	167	95	96	.	
45	9	Si4b1	B4b1	313	313	1	8	333	95	96	.	
46	9	Do5	C5	318	318	1	4	667	95	96	.	
47	9	La4	A4	305	305	1	8	333	95	96	.	
48	9	Do5	C5	318	318	1	8	333	95	96	.	
49	9	Si4b1	B4b1	313	313	1	4	667	95	96	.	
50	9	La4	A4	305	305	1	8	333	95	96	.	
51	9	Sol4	G4	296	296	1	4	667	95	96	.	
52	9	Sol5	G5	349	349	1	8	333	95	96	.	
53	9	Fa5	F5	340	340	1	8	333	95	96	.	
54	9	Mi5	E5	336	336	1	8	333	95	96	.	
55	9	Re5	D5	327	327	1	8	333	95	96	.	
56	9	Do5	C5	318	318	1	8	333	95	96	.	
57	9	Si4b1	B4b1	313	313	1	8	333	95	96	.	
58	9	La4	A4	305	305	1	8	333	95	96	.	
59	9	Sol4	G4	296	296	1	8	333	95	96	.	
60	9	La4	A4	305	305	1	8	333	95	96	.	
61	9	Si4b1	B4b1	313	313	1	8	333	95	96	.	
62	9	Do5	C5	318	318	1	8	333	95	96	.	
63	9	Si4b1	B4b1	313	313	1	8	333	95	96	.	
64	9	La4	A4	305	305	1	8	333	95	96	.	
65	9	Sol4	G4	296	296	1	8	333	95	96	.	
66	9	Fa4#4	F4#4	291	291	1	8	333	95	96	.	
67	9	Sol4	G4	296	296	3	8	1000	100	96	.	
68	9	Sol4	G4	296	296	1	4	667	95	96		
69	9	Si4b1	B4b1	313	313	1	8	333	95	96	Ni	zemin
70	9	Si4b1	B4b1	313	313	1	8	333	99	96	han	
71	9	La4	A4	305	305	1	8	333	95	96		
72	9	La4	A4	305	305	1	8	333	99	96	sın 	
73	9	Sol4	G4	296	296	1	8	333	99	96		
74	9	Sol4	G4	296	296	1	4	667	99	96		
75	9	La4	A4	305	305	1	8	333	95	96		
76	9	Si4b1	B4b1	313	313	1	4	667	99	96	dî	
77	9	La4	A4	305	305	1	8	333	95	96		
78	9	La4	A4	305	305	1	8	333	99	96	de	
79	9	Sol4	G4	296	296	1	8	333	95	96		
80	9	Sol4	G4	296	296	1	2	1334	95	96	den 	
81	9			-1	-1	1	8	333	100	0		
82	9			-1	-1	1	4	667	100	0		
83	9	Do5	C5	318	318	1	8	333	99	96	ey 	
84	9	Re5	D5	327	327	1	4	667	95	96		
85	9	Re5	D5	327	327	1	4	667	99	96	mes	
86	9	Do5	C5	318	318	1	4	667	99	96		
87	9	Si4b1	B4b1	313	313	1	8	333	95	96		
88	9	Do5	C5	318	318	1	8	333	99	96	ti	
89	9	Re5	D5	327	327	1	8	333	95	96		
90	9	Mi5	E5	336	336	1	4	667	99	96	nâ	
91	9	Re5	D5	327	327	1	8	333	95	96		
92	9	Re5	D5	327	327	1	8	333	99	96	zım  	
93	9	Do5	C5	318	318	1	8	333	99	96		
94	9	Si4b1	B4b1	313	313	1	4	667	99	96		
95	9	La4	A4	305	305	1	8	333	95	96		
96	9	Sol4	G4	296	296	1	4	667	95	96		
97	9	Si4b1	B4b1	313	313	1	8	333	95	96	Ni	zemin
98	9	Si4b1	B4b1	313	313	1	8	333	99	96	han	
99	9	La4	A4	305	305	1	8	333	95	96		
100	9	La4	A4	305	305	1	8	333	99	96	sın 	
101	9	Sol4	G4	296	296	1	8	333	99	96		
102	9	Sol4	G4	296	296	1	4	667	99	96		
103	9	La4	A4	305	305	1	8	333	95	96		
104	9	Si4b1	B4b1	313	313	1	4	667	99	96	dî	
105	9	La4	A4	305	305	1	8	333	95	96		
106	9	La4	A4	305	305	1	8	333	99	96	de	
107	9	Sol4	G4	296	296	1	8	333	95	96		
108	9	Sol4	G4	296	296	1	2	1334	95	96	den 	
109	9			-1	-1	1	8	333	100	0		
110	9			-1	-1	1	4	667	100	0		
111	9	Do5	C5	318	318	1	8	333	99	96	ey 	
112	9	Re5	D5	327	327	1	4	667	95	96		
113	9	Re5	D5	327	327	1	4	667	99	96	mes	
114	9	Do5	C5	318	318	1	4	667	99	96		
115	9	Si4b1	B4b1	313	313	1	8	333	95	96		
116	9	Do5	C5	318	318	1	8	333	99	96	ti	
117	9	Re5	D5	327	327	1	8	333	95	96		
118	9	Mi5	E5	336	336	1	4	667	99	96	nâ	
119	9	Re5	D5	327	327	1	8	333	95	96		
120	9	Re5	D5	327	327	1	8	333	99	96	zım  	
121	9	Do5	C5	318	318	1	8	333	99	96		
122	9	Re5	D5	327	327	3	8	1000	95	96		
123	9			-1	-1	1	4	667	100	0		
124	9	Fa5	F5	340	340	1	8	333	95	96	SAZ	
125	9	Mi5	E5	336	336	1	8	333	95	96	.	
126	9	Re5	D5	327	327	1	8	333	95	96	.	
127	9	Mi5	E5	336	336	1	8	333	95	96	.	
128	9	Do5	C5	318	318	1	8	333	95	96	.	
129	9	Re5	D5	327	327	1	4	667	95	96	.	
130	9			-1	-1	1	8	333	100	0		
131	9			-1	-1	1	4	667	100	0		
132	9	Do5	C5	318	318	1	8	333	95	96	Ba	nakarat
133	9	Re5	D5	327	327	1	4	667	95	96	na 	
134	9	Re5	D5	327	327	1	4	667	99	96	sen	
135	9	Do5	C5	318	318	1	8	333	99	96		
136	9	Si4b1	B4b1	313	313	1	8	333	99	96		
137	9	La4	A4	305	305	1	8	333	95	96		
138	9	Si4b1	B4b1	313	313	3	16	500	99	96	siz 	
139	9	La4	A4	305	305	1	16	167	99	96		
140	9	Si4b1	B4b1	313	313	1	8	333	95	96		
141	9	Do5	C5	318	318	1	8	333	99	96	ci	
142	9	Re5	D5	327	327	1	8	333	95	96		
143	9	Re5	D5	327	327	1	8	333	99	96	han	
144	9	Do5	C5	318	318	1	8	333	99	96		
145	9	Si4b1	B4b1	313	313	1	4	667	99	96		
146	9	La4	A4	305	305	1	16	167	99	96		
147	9	Sol4	G4	296	296	1	16	167	99	96		
148	9	Sol4	G4	296	296	1	4	667	95	96		
149	9	La4	A4	305	305	1	8	333	99	96	da 	
150	9	Si4b1	B4b1	313	313	1	4	667	95	96		
151	9	Do5	C5	318	318	1	8	333	99	96	can 	
152	9	Mi5	E5	336	336	1	8	333	99	96		
153	9	Re5	D5	327	327	1	4	667	99	96		
154	9	Do5	C5	318	318	1	8	333	95	96		
155	9	Si4b1	B4b1	313	313	1	4	667	95	96	ne 	
156	9	Do5	C5	318	318	1	8	333	99	96	lâ	
157	9	La4	A4	305	305	1	8	333	99	96		
158	9	Sol4	G4	296	296	1	8	333	95	96		
159	9	Sol4	G4	296	296	1	4	667	99	96	zım  	
160	9	Si4b1	B4b1	313	313	1	8	333	99	96		
161	8	Do5	C5	318	318	0	0	0	99	96		
162	9	Si4b1	B4b1	313	313	1	16	167	99	96		
163	9	La4	A4	305	305	1	16	167	99	96		
164	9	Si4b1	B4b1	313	313	1	8	333	95	96		
165	9			-1	-1	1	4	667	100	0		
166	9	Si4b1	B4b1	313	313	1	8	333	99	96	Ba	nakarat
167	8	Do5	C5	318	318	0	0	0	95	96		
168	9	Si4b1	B4b1	313	313	1	8	333	99	96	na 	
169	9	La4	A4	305	305	1	8	333	95	96		
170	9	La4	A4	305	305	1	8	333	99	96	sen	
171	9	Sol4	G4	296	296	1	8	333	99	96		
172	9	Sol4	G4	296	296	1	4	667	99	96		
173	9	La4	A4	305	305	1	8	333	95	96		
174	9	Si4b1	B4b1	313	313	1	4	667	99	96	siz 	
175	9	La4	A4	305	305	1	8	333	95	96		
176	9	La4	A4	305	305	1	8	333	99	96	ci	
177	9	Sol4	G4	296	296	1	8	333	95	96		
178	9	Sol4	G4	296	296	5	8	1667	100	96	han	
179	9	Sol4	G4	296	296	1	4	667	95	96		
180	9	La4	A4	305	305	1	8	333	99	96	da 	
181	9	Si4b1	B4b1	313	313	1	4	667	95	96		
182	9	Do5	C5	318	318	1	8	333	99	96	can 	
183	9	Mi5	E5	336	336	1	8	333	99	96		
184	9	Re5	D5	327	327	1	4	667	99	96		
185	9	Do5	C5	318	318	1	8	333	95	96		
186	9	Si4b1	B4b1	313	313	1	4	667	95	96	ne 	
187	9	Do5	C5	318	318	1	8	333	99	96	lâ	
188	9	La4	A4	305	305	1	8	333	99	96		
189	9	Sol4	G4	296	296	1	8	333	95	96		
190	9	Sol4	G4	296	296	1	2	1334	95	96	zım  	
191	9			-1	-1	1	8	333	100	0		
192	9	Sol4	G4	296	296	1	4	667	95	96	SAZ	
193	9	Mi5	E5	336	336	1	8	333	95	96	.	
194	9	Re5	D5	327	327	1	8	333	95	96	.	
195	9	Do5	C5	318	318	1	8	333	95	96	.	
196	9	Si4b1	B4b1	313	313	1	8	333	95	96	.	
197	9	Do5	C5	318	318	1	8	333	95	96	.	
198	9	Re5	D5	327	327	1	4	667	95	96	.	
199	9			-1	-1	1	8	333	100	0		
200	9			-1	-1	1	4	667	100	0		
201	9	Do5	C5	318	318	1	8	333	95	96	Be	meyan
202	9	Re5	D5	327	327	1	4	667	95	96	nim 	
203	9	Re5	D5	327	327	3	16	500	99	96	sen	
204	9	Do5	C5	318	318	1	16	167	99	96		
205	9	Re5	D5	327	327	3	8	1000	95	96		
206	9	Mi5	E5	336	336	3	8	1000	95	96	sin 	
207	9	Fa5	F5	340	340	1	8	333	99	96	fe	
208	9	Mi5	E5	336	336	1	8	333	95	96		
209	9	Re5	D5	327	327	1	8	333	99	96	lek	
210	9	Do5	C5	318	318	1	8	333	99	96		
211	9	Re5	D5	327	327	3	8	1000	95	96		
212	9	Re5	D5	327	327	1	4	667	95	96	de 	
213	9	Do5	C5	318	318	1	8	333	99	96		
214	9	Re5	D5	327	327	1	4	667	95	96		
215	9	Mi5	E5	336	336	1	8	333	99	96	ça	
216	9	Fa5	F5	340	340	1	8	333	99	96		
217	9	Sol5	G5	349	349	1	8	333	99	96		
218	9	Mi5	E5	336	336	1	8	333	95	96		
219	9	Re5	D5	327	327	1	8	333	99	96		
220	9	Mi5	E5	336	336	1	8	333	99	96	re	
221	9	Re5	D5	327	327	1	8	333	95	96		
222	9	Re5	D5	327	327	1	8	333	99	96	sâ	
223	9	Do5	C5	318	318	1	8	333	99	96		
224	9	Re5	D5	327	327	1	8	333	95	96		
225	9	Do5	C5	318	318	1	8	333	99	96	zım  	
226	9	Si4b1	B4b1	313	313	1	16	167	99	96		
227	9	La4	A4	305	305	1	16	167	99	96		
228	9	Si4b1	B4b1	313	313	3	8	1000	95	96		
229	9			-1	-1	1	4	667	100	0		
230	9	Si4b1	B4b1	313	313	1	8	333	95	96	Be	meyan
231	9	Do5	C5	318	318	1	4	667	95	96	nim 	
232	9	Do5	C5	318	318	3	16	500	99	96	sen	
233	9	Si4b1	B4b1	313	313	1	16	167	99	96		
234	9	Do5	C5	318	318	3	8	1000	95	96		
235	9	Re5	D5	327	327	3	8	1000	95	96	sin 	
236	9	Mi5	E5	336	336	1	4	667	95	96	fe	
237	9	Fa5	F5	340	340	1	8	333	99	96	lek	
238	9	Mi5	E5	336	336	1	8	333	99	96		
239	9	Re5	D5	327	327	1	8	333	99	96		
240	9	Do5	C5	318	318	1	8	333	99	96		
241	9	Si4b1	B4b1	313	313	1	8	333	100	96		
242	9	Si4b1	B4b1	313	313	1	4	667	95	96		
243	9	La4	A4	305	305	1	8	333	99	96	de 	
244	9	Si4b1	B4b1	313	313	1	4	667	95	96		
245	9	Do5	C5	318	318	1	8	333	99	96	ça	
246	9	Re5	D5	327	327	1	8	333	99	96		
247	9	Mi5	E5	336	336	1	4	667	99	96		
248	9	Re5	D5	327	327	1	8	333	95	96		
249	9	Re5	D5	327	327	1	8	333	99	96	re	
250	9	Do5	C5	318	318	1	8	333	95	96		
251	9	Do5	C5	318	318	1	4	667	99	96	sâ	
252	9	Re5	D5	327	327	1	8	333	95	96		
253	9	Do5	C5	318	318	1	8	333	99	96	zım  	
254	9	Si4b1	B4b1	313	313	1	16	167	99	96		
255	9	La4#4	A4#4	309	309	1	16	167	99	96		
256	9	Si4b1	B4b1	313	313	1	4	667	95	96		
257	9			-1	-1	1	8	333	100	0		
258	9			-1	-1	1	4	667	100	0		
259	9	Fa5	F5	340	340	1	8	333	95	96	SAZ	
260	9	Mi5	E5	336	336	1	8	333	95	96	.	
261	9	Re5	D5	327	327	1	8	333	95	96	.	
262	9	Do5	C5	318	318	1	8	333	95	96	.	
263	9	Si4b1	B4b1	313	313	1	16	167	95	96	.	
264	9	La4#4	A4#4	309	309	1	16	167	95	96	.	
265	9	Si4b1	B4b1	313	313	1	4	667	95	96	.	
266	9			-1	-1	1	8	333	100	0		
267	9			-1	-1	1	4	667	100	0		
268	9	Do5	C5	318	318	1	8	333	95	96	Ba	nakarat
269	9	Re5	D5	327	327	1	4	667	95	96	na 	
270	9	Re5	D5	327	327	1	4	667	99	96	sen	
271	9	Do5	C5	318	318	1	8	333	99	96		
272	9	Si4b1	B4b1	313	313	1	8	333	99	96		
273	9	La4	A4	305	305	1	8	333	95	96		
274	9	Si4b1	B4b1	313	313	3	16	500	99	96	siz 	
275	9	La4	A4	305	305	1	16	167	99	96		
276	9	Si4b1	B4b1	313	313	1	8	333	95	96		
277	9	Do5	C5	318	318	1	8	333	99	96	ci	
278	9	Re5	D5	327	327	1	8	333	95	96		
279	9	Re5	D5	327	327	1	8	333	99	96	han	
280	9	Do5	C5	318	318	1	8	333	99	96		
281	9	Si4b1	B4b1	313	313	1	4	667	99	96		
282	9	La4	A4	305	305	1	16	167	99	96		
283	9	Sol4	G4	296	296	1	16	167	99	96		
284	9	Sol4	G4	296	296	1	4	667	95	96		
285	9	La4	A4	305	305	1	8	333	99	96	da 	
286	9	Si4b1	B4b1	313	313	1	4	667	95	96		
287	9	Do5	C5	318	318	1	8	333	99	96	can 	
288	9	Mi5	E5	336	336	1	8	333	99	96		
289	9	Re5	D5	327	327	1	4	667	99	96		
290	9	Do5	C5	318	318	1	8	333	95	96		
291	9	Si4b1	B4b1	313	313	1	4	667	95	96	ne 	
292	9	Do5	C5	318	318	1	8	333	99	96	lâ	
293	9	La4	A4	305	305	1	8	333	99	96		
294	9	Sol4	G4	296	296	1	8	333	95	96		
295	9	Sol4	G4	296	296	1	4	667	99	96	zım  	
296	9	Si4b1	B4b1	313	313	1	8	333	99	96		
297	8	Do5	C5	318	318	0	0	0	99	96		
298	9	Si4b1	B4b1	313	313	1	16	167	99	96		
299	9	La4	A4	305	305	1	16	167	99	96		
300	9	Si4b1	B4b1	313	313	1	8	333	95	96		
301	9			-1	-1	1	4	667	100	0		
302	9	Si4b1	B4b1	313	313	1	8	333	99	96	Ba	nakarat
303	8	Do5	C5	318	318	0	0	0	95	96		
304	9	Si4b1	B4b1	313	313	1	8	333	99	96	na 	
305	9	La4	A4	305	305	1	8	333	95	96		
306	9	La4	A4	305	305	1	8	333	99	96	sen	
307	9	Sol4	G4	296	296	1	8	333	99	96		
308	9	Sol4	G4	296	296	1	4	667	99	96		
309	9	La4	A4	305	305	1	8	333	95	96		
310	9	Si4b1	B4b1	313	313	1	4	667	99	96	siz 	
311	9	La4	A4	305	305	1	8	333	95	96		
312	9	La4	A4	305	305	1	8	333	99	96	ci	
313	9	Sol4	G4	296	296	1	8	333	95	96		
314	9	Sol4	G4	296	296	5	8	1667	100	96	han	
315	9	Sol4	G4	296	296	1	4	667	95	96		
316	9	La4	A4	305	305	1	8	333	99	96	da 	
317	9	Si4b1	B4b1	313	313	1	4	667	95	96		
318	9	Do5	C5	318	318	1	8	333	99	96	can 	
319	9	Mi5	E5	336	336	1	8	333	99	96		
320	9	Re5	D5	327	327	1	4	667	99	96		
321	9	Do5	C5	318	318	1	8	333	95	96		
322	9	Si4b1	B4b1	313	313	1	4	667	95	96	ne 	
323	9	Do5	C5	318	318	1	8	333	99	96	lâ	
324	9	La4	A4	305	305	1	8	333	99	96		
325	9	Sol4	G4	296	296	1	8	333	95	96		
326	9	Sol4	G4	296	296	1	2	1334	95	96	zım  	
327	9			-1	-1	1	8	333	100	0		
328	9	Re5	D5	327	327	3	16	500	95	96	ARANAĞME 	
329	9	Do5	C5	318	318	1	16	167	95	96	.	
330	9	Re5	D5	327	327	1	8	333	95	96	.	
331	9	Mi5	E5	336	336	1	4	667	95	96	.	
332	9	Do5	C5	318	318	1	8	333	95	96	.	
333	9	Mi5	E5	336	336	1	8	333	95	96	.	
334	9	Re5	D5	327	327	1	4	667	95	96	.	
335	9			-1	-1	1	8	333	100	0	.	
336	9	Si4b1	B4b1	313	313	3	16	500	95	96	.	
337	9	La4	A4	305	305	1	16	167	95	96	.	
338	9	Si4b1	B4b1	313	313	1	8	333	95	96	.	
339	9	Do5	C5	318	318	1	4	667	95	96	.	
340	9	La4	A4	305	305	1	8	333	95	96	.	
341	9	Do5	C5	318	318	1	8	333	95	96	.	
342	9	Si4b1	B4b1	313	313	1	4	667	95	96	.	
343	9	La4	A4	305	305	1	8	333	95	96	.	
344	9	Sol4	G4	296	296	1	4	667	95	96	.	
345	9	La4	A4	305	305	1	8	333	95	96	.	
346	9	Si4b1	B4b1	313	313	1	8	333	95	96	.	
347	9	Do5	C5	318	318	1	8	333	95	96	.	
348	9	Re5	D5	327	327	1	8	333	95	96	.	
349	9	Mi5	E5	336	336	1	8	333	95	96	.	
350	9	Fa5	F5	340	340	1	8	333	95	96	.	
351	9	Mi5	E5	336	336	1	8	333	95	96	.	
352	9	Re5	D5	327	327	1	8	333	95	96	.	
353	9	La5	A5	358	358	1	8	333	95	96	.	
354	9	Sol5	G5	349	349	1	8	333	95	96	.	
355	9	Fa5	F5	340	340	1	8	333	95	96	.	
356	9	Mi5	E5	336	336	1	8	333	95	96	.	
357	9	Re5	D5	327	327	1	8	333	95	96	.	
358	9	Mi5	E5	336	336	1	8	333	95	96	.	
359	9	Do5	C5	318	318	1	8	333	95	96	.	
360	9	Re5	D5	327	327	1	4	667	95	96	.	
361	9			-1	-1	1	8	333	100	0		
362	9	Re5	D5	327	327	3	16	500	95	96	ARANAĞME 	
363	9	Do5	C5	318	318	1	16	167	95	96	.	
364	9	Re5	D5	327	327	1	8	333	95	96	.	
365	9	Mi5	E5	336	336	1	4	667	95	96	.	
366	9	Do5	C5	318	318	1	8	333	95	96	.	
367	9	Mi5	E5	336	336	1	8	333	95	96	.	
368	9	Re5	D5	327	327	1	4	667	95	96	.	
369	9			-1	-1	1	8	333	100	0	.	
370	9	Si4b1	B4b1	313	313	3	16	500	95	96	.	
371	9	La4	A4	305	305	1	16	167	95	96	.	
372	9	Si4b1	B4b1	313	313	1	8	333	95	96	.	
373	9	Do5	C5	318	318	1	4	667	95	96	.	
374	9	La4	A4	305	305	1	8	333	95	96	.	
375	9	Do5	C5	318	318	1	8	333	95	96	.	
376	9	Si4b1	B4b1	313	313	1	4	667	95	96	.	
377	9	La4	A4	305	305	1	8	333	95	96	.	
378	9	Sol4	G4	296	296	1	4	667	95	96	.	
379	9	Sol5	G5	349	349	1	8	333	95	96	.	
380	9	Fa5	F5	340	340	1	8	333	95	96	.	
381	9	Mi5	E5	336	336	1	8	333	95	96	.	
382	9	Re5	D5	327	327	1	8	333	95	96	.	
383	9	Do5	C5	318	318	1	8	333	95	96	.	
384	9	Si4b1	B4b1	313	313	1	8	333	95	96	.	
385	9	La4	A4	305	305	1	8	333	95	96	.	
386	9	Sol4	G4	296	296	1	8	333	95	96	.	
387	9	La4	A4	305	305	1	8	333	95	96	.	
388	9	Si4b1	B4b1	313	313	1	8	333	95	96	.	
389	9	Do5	C5	318	318	1	8	333	95	96	.	
390	9	Si4b1	B4b1	313	313	1	8	333	95	96	.	
391	9	La4	A4	305	305	1	8	333	95	96	.	
392	9	Sol4	G4	296	296	1	8	333	95	96	.	
393	9	Fa4#4	F4#4	291	291	1	8	333	95	96	.	
394	9	Sol4	G4	296	296	3	8	1000	100	96	.	
395	9	Sol4	G4	296	296	1	4	667	95	96		
396	9	Si4b1	B4b1	313	313	1	8	333	95	96	Se	zemin_2
397	9	Si4b1	B4b1	313	313	1	8	333	99	96	za	
398	9	La4	A4	305	305	1	8	333	95	96		
399	9	La4	A4	305	305	1	8	333	99	96	dır 	
400	9	Sol4	G4	296	296	1	8	333	99	96		
401	9	Sol4	G4	296	296	1	4	667	99	96		
402	9	La4	A4	305	305	1	8	333	95	96		
403	9	Si4b1	B4b1	313	313	1	4	667	99	96	ma	
404	9	La4	A4	305	305	1	8	333	95	96		
405	9	La4	A4	305	305	1	8	333	99	96	te	
406	9	Sol4	G4	296	296	1	8	333	95	96		
407	9	Sol4	G4	296	296	1	2	1334	95	96	mim 	
408	9			-1	-1	1	8	333	100	0		
409	9			-1	-1	1	4	667	100	0		
410	9	Do5	C5	318	318	1	8	333	99	96	tut	
411	9	Re5	D5	327	327	1	4	667	95	96		
412	9	Re5	D5	327	327	1	4	667	99	96	sa 	
413	9	Do5	C5	318	318	1	4	667	99	96		
414	9	Si4b1	B4b1	313	313	1	8	333	95	96		
415	9	Do5	C5	318	318	1	8	333	99	96	fe	
416	9	Re5	D5	327	327	1	8	333	95	96		
417	9	Mi5	E5	336	336	1	4	667	99	96	lek	
418	9	Re5	D5	327	327	1	8	333	95	96		
419	9	Re5	D5	327	327	1	8	333	99	96	ler  	
420	9	Do5	C5	318	318	1	8	333	99	96		
421	9	Si4b1	B4b1	313	313	1	4	667	99	96		
422	9	La4	A4	305	305	1	8	333	95	96		
423	9	Sol4	G4	296	296	1	4	667	95	96		
424	9	Si4b1	B4b1	313	313	1	8	333	95	96	Se	zemin_2
425	9	Si4b1	B4b1	313	313	1	8	333	99	96	za	
426	9	La4	A4	305	305	1	8	333	95	96		
427	9	La4	A4	305	305	1	8	333	99	96	dır 	
428	9	Sol4	G4	296	296	1	8	333	99	96		
429	9	Sol4	G4	296	296	1	4	667	99	96		
430	9	La4	A4	305	305	1	8	333	95	96		
431	9	Si4b1	B4b1	313	313	1	4	667	99	96	ma	
432	9	La4	A4	305	305	1	8	333	95	96		
433	9	La4	A4	305	305	1	8	333	99	96	te	
434	9	Sol4	G4	296	296	1	8	333	95	96		
435	9	Sol4	G4	296	296	1	2	1334	95	96	mim 	
436	9			-1	-1	1	8	333	100	0		
437	9			-1	-1	1	4	667	100	0		
438	9	Do5	C5	318	318	1	8	333	99	96	tut	
439	9	Re5	D5	327	327	1	4	667	95	96		
440	9	Re5	D5	327	327	1	4	667	99	96	sa 	
441	9	Do5	C5	318	318	1	4	667	99	96		
442	9	Si4b1	B4b1	313	313	1	8	333	95	96		
443	9	Do5	C5	318	318	1	8	333	99	96	fe	
444	9	Re5	D5	327	327	1	8	333	95	96		
445	9	Mi5	E5	336	336	1	4	667	99	96	lek	
446	9	Re5	D5	327	327	1	8	333	95	96		
447	9	Re5	D5	327	327	1	8	333	99	96	ler  	
448	9	Do5	C5	318	318	1	8	333	99	96		
449	9	Re5	D5	327	327	3	8	1000	95	96		
450	9			-1	-1	1	4	667	100	0		
451	9	Fa5	F5	340	340	1	8	333	95	96	SAZ	
452	9	Mi5	E5	336	336	1	8	333	95	96	.	
453	9	Re5	D5	327	327	1	8	333	95	96	.	
454	9	Mi5	E5	336	336	1	8	333	95	96	.	
455	9	Do5	C5	318	318	1	8	333	95	96	.	
456	9	Re5	D5	327	327	1	4	667	95	96	.	
457	9			-1	-1	1	8	333	100	0		
458	9			-1	-1	1	4	667	100	0		
459	9	Do5	C5	318	318	1	8	333	95	96	Ba	nakarat_2
460	9	Re5	D5	327	327	1	4	667	95	96	na 	
461	9	Re5	D5	327	327	1	4	667	99	96	in	
462	9	Do5	C5	318	318	1	8	333	99	96		
463	9	Si4b1	B4b1	313	313	1	8	333	99	96		
464	9	La4	A4	305	305	1	8	333	95	96		
465	9	Si4b1	B4b1	313	313	3	16	500	99	96	san 	
466	9	La4	A4	305	305	1	16	167	99	96		
467	9	Si4b1	B4b1	313	313	1	8	333	95	96		
468	9	Do5	C5	318	318	1	8	333	99	96	de	
469	9	Re5	D5	327	327	1	8	333	95	96		
470	9	Re5	D5	327	327	1	8	333	99	96	ğil 	
471	9	Do5	C5	318	318	1	8	333	99	96		
472	9	Si4b1	B4b1	313	313	1	4	667	99	96		
473	9	La4	A4	305	305	1	16	167	99	96		
474	9	Sol4	G4	296	296	1	16	167	99	96		
475	9	Sol4	G4	296	296	1	4	667	95	96		
476	9	La4	A4	305	305	1	8	333	99	96	ağ	
477	9	Si4b1	B4b1	313	313	1	4	667	95	96		
478	9	Do5	C5	318	318	1	8	333	99	96	lar 	
479	9	Mi5	E5	336	336	1	8	333	99	96		
480	9	Re5	D5	327	327	1	4	667	99	96		
481	9	Do5	C5	318	318	1	8	333	95	96		
482	9	Si4b1	B4b1	313	313	1	4	667	95	96	me	
483	9	Do5	C5	318	318	1	8	333	99	96	lek	
484	9	La4	A4	305	305	1	8	333	99	96		
485	9	Sol4	G4	296	296	1	8	333	95	96		
486	9	Sol4	G4	296	296	1	4	667	99	96	ler  	
487	9	Si4b1	B4b1	313	313	1	8	333	99	96		
488	8	Do5	C5	318	318	0	0	0	99	96		
489	9	Si4b1	B4b1	313	313	1	16	167	99	96		
490	9	La4	A4	305	305	1	16	167	99	96		
491	9	Si4b1	B4b1	313	313	1	8	333	95	96		
492	9			-1	-1	1	4	667	100	0		
